pl_name,pl_letter,pl_controv_flag,tran_flag,rv_flag,ttv_flag,ptv_flag,ast_flag,micro_flag,ima_flag,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbtper,pl_orbtper_systemref,pl_rade,pl_radj,pl_masse,pl_massj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_msinie,pl_msinij,pl_dens,pl_eqt,pl_insol,pl_trandur,pl_trandep,pl_tranmid,pl_tranmid_systemref,pl_ratror,pl_ratdor,pl_imppar,pl_occdep,pl_rvamp,pl_projobliq,pl_trueobliq,pl_angsep,pl_nespec,pl_ntranspec,pl_ndispec,pl_pubdate,hostname,hd_name,hip_name,tic_id,gaia_dr2_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_lum,st_age,st_dens,st_rotp,st_vsin,st_radv,st_log_rhk,st_nphot,st_nrvc,st_nspec,sy_name,ra,dec,sy_dist,sy_plx,sy_pm,sy_pmra,sy_pmdec,sy_snum,sy_pnum,sy_mnum,cb_flag,sy_vmag,sy_bmag,sy_jmag,sy_hmag,sy_kmag,sy_gaiamag,sy_tmag,sy_kepmag,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,discoverymethod,disc_year,disc_facility,disc_instrument,disc_locale,disc_pubdate,disc_refname,planet_class,habitability_zone_est,calc_density
11 Com b,b,0,0,1,0,0,0,0,0,323.21,1.178,0.238,,91.33,2454519.4,JD,12.2,1.09,,,4914.89848585,15.464,Msini,4914.898485848,15.464,14.9,803.26,68.5387,,,,,,,,,288.63,,,12.6,0,0,0,,11 Com,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,Gaia DR3 3946945413106333696,G8 III,4874.0,13.76,2.09,-0.26,2.45,1.97823,,,,1.2,43.36898,,1,2,0,11 Com,185.1787793,17.7932516,93.1846,10.7104,140.3836266,-109.241,88.1701,2,1,0,0,4.72307,5.726,2.943,2.484,2.282,4.44038,3.8379,,,,,,0.639,0.732,2.358,2.27,Radial Velocity,2007,Xinglong Station,Coude Echelle Spectrograph,Ground,2008-01,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,Gas Giant,Hot Zone,14.9
11 UMi b,b,0,0,1,0,0,0,0,0,516.21997,1.53,0.08,,117.63,2452861.04,,12.3,1.09,,,4684.8142,14.74,Msini,4684.8142,14.74,13.8,896.43,114.8502,,,,,,,,,189.7,,,12.2,0,0,0,,11 UMi,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,Gaia DR3 1696798367260229376,K4 III,4213.0,29.79,2.78,-0.02,1.93,2.42951,1.56,,,1.5,-17.52023,,1,1,0,11 UMi,229.2745954,71.8239428,125.321,7.95388,10.6790187,3.42996,10.1132,1,1,0,0,5.013,6.382,2.876,2.091,1.939,4.56216,3.82294,,,,,,-0.29,0.143,1.894,1.787,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,Ground,2009-10,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,Gas Giant,Hot Zone,13.8
14 And b,b,0,0,1,0,0,0,0,0,186.76,0.775,0.0,,0.0,2452853.0,JD,13.1,1.16,,,1131.15130051,3.559,Msini,1131.151300513,3.559,2.76,909.92,115.1634,,,,,,,,,86.08,,,10.3,0,0,0,,14 And,HD 221345,HIP 116076,TIC 333225860,Gaia DR2 1920113512486282240,Gaia DR3 1920113512486282240,K0 III,4888.0,11.55,1.78,-0.21,2.55,1.83992,4.5,,,2.6,-59.72633,,1,1,0,14 And,352.82415,39.2358367,75.4392,13.2289,299.2526179,287.292,-83.7582,1,1,0,0,5.23133,6.256,3.019,2.608,2.331,4.91781,4.3214,,,,,,1.592,2.545,2.719,2.719,Radial Velocity,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,Ground,2008-12,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Gas Giant,Hot Zone,2.76
14 Her b,b,0,0,1,0,0,0,0,0,1766.41,2.839,0.3683,146.7,23.2,2451372.7,,12.5,1.12,2828.6728223,8.9,2828.6728223,8.9,Mass,1506.45,4.74,7.96,147.32,0.0873,,,2456834.4,BJD,,,,,90.0,,,158.0,0,0,0,,14 Her,HD 145675,HIP 79248,TIC 219483057,Gaia DR2 1385293808145621504,Gaia DR3 1385293808145621504,K0,5338.0,0.93,0.97,0.43,4.45,-0.15273,4.6,1.273928,,1.0,-13.8226,-5.06,1,4,1,14 Her,242.6021014,43.8163621,17.9323,55.7363,324.5303062,132.019,-296.464,1,2,0,0,6.61935,7.495,5.158,4.803,4.714,6.383,5.8631,,,,,,4.676,4.543,4.721,4.674,Radial Velocity,2002,W. M. Keck Observatory,HIRES Spectrometer,Ground,2003-01,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,Gas Giant,Cold Zone,7.96
HD 145675 c,c,0,0,1,0,0,1,0,1,15732.45889,20.0,0.52,116.3,172.5,2436430.122,BJD,12.6,1.12,2510.8444153,7.9,2510.8444153,7.9,Mass,1843.4047606,5.8,6.9,55.51,0.0018,,,2454680.0,BJD,,,,,36.515,,,1120.0,0,0,1,,14 Her,HD 145675,HIP 79248,TIC 219483057,Gaia DR2 1385293808145621504,Gaia DR3 1385293808145621504,K0,5338.0,0.93,0.97,0.43,4.45,-0.15273,4.6,1.273928,,1.0,-13.8226,-5.06,1,4,1,14 Her,242.6021014,43.8163621,17.9323,55.7363,324.5303062,132.019,-296.464,1,2,0,0,6.61935,7.495,5.158,4.803,4.714,6.383,5.8631,,,,,,4.676,4.543,4.721,4.674,Radial Velocity,2021,Multiple Observatories,Multiple Instruments,Ground,2021-07,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,Gas Giant,Cold Zone,6.9
16 Cyg B b,b,0,0,1,0,0,0,0,0,798.5,1.66,0.68,,82.74,2450539.3,,13.5,1.2,,,565.7374,1.78,Msini,565.7374,1.78,1.26,228.76,0.454,,,2456937.32,BJD,,,,,50.5,,,78.5,0,0,0,,16 Cyg B,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,Gaia DR3 2135550755683407232,G3 V,5750.0,1.13,1.08,0.06,4.36,0.09729,7.4,1.011029,,2.7,-28.1,-5.08,1,4,3,16 Cyg,295.4656422,50.5168243,21.1397,47.2754,211.1222128,-134.791,-162.493,3,1,0,0,6.215,6.876,4.993,4.695,4.651,6.06428,5.6281,6.095,,6.165,,,4.773,4.568,4.926,4.713,Radial Velocity,1996,Multiple Observatories,Multiple Instruments,Ground,1997-07,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,Gas Giant,Conservative Habitable Zone,1.26
17 Sco b,b,0,0,1,0,0,0,0,0,578.38,1.45,0.06,,57.03,2453294.41,JD,12.9,1.15,,,1373.01871824,4.32,Msini,1373.01871824,4.32,3.51,847.51,85.4316,,,,,,,,,92.4,,,11.6,0,0,0,,17 Sco,,HIP 79540,TIC 135596590,Gaia DR2 4342464209753404416,Gaia DR3 4342464209753404416,K3 III,4157.0,25.92,1.22,-0.01,1.7,2.25435,5.13,,329.49,3.98,,,0,0,0,17 Sco,243.4620874,-11.8377905,124.953,7.9805,10.6681995,-5.62983,-9.06176,1,1,0,0,5.22606,6.615,2.943,2.266,2.094,4.75429,3.97655,,,,,,0.122,0.752,2.058,1.931,Radial Velocity,2020,Lick Observatory,Hamilton Echelle Spectrograph,Ground,2020-12,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,Gas Giant,Hot Zone,3.51
18 Del b,b,0,0,1,0,0,0,0,0,982.85,2.476,0.024,,64.11,2454356.1,JD,12.5,1.12,,,2926.24614325,9.207,Msini,2926.246143249,9.207,8.23,452.72,7.0173,,,,,,,,,114.96,,,32.5,0,0,0,,18 Del,HD 199665,HIP 103527,TIC 354489950,Gaia DR2 1756741374681702784,Gaia DR3 1756741374681702784,G6 III,4980.0,8.8,2.1,-0.06,2.87,1.63367,1.1,,,,4.3454,,1,1,0,18 Del,314.6078375,10.8391378,76.222,13.0922,60.6038527,-50.0335,-34.1976,2,1,0,0,5.51048,6.43,4.032,3.44,3.366,5.27476,4.7181,,,,,,3.37,2.931,3.355,3.308,Radial Velocity,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,Ground,2008-06,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,Gas Giant,Hot Zone,8.23
1RXS J160929.1-210524 b,b,0,0,0,0,0,0,0,1,,330.0,,,,,,18.647,1.664,3000.0,8.0,3000.0,8.0,Mass,,,2.54,1700.0,0.0,,,,,,,,,,,,2370.0,0,0,0,,1RXS J160929.1-210524,,,TIC 48964101,Gaia DR2 6243841249531772800,Gaia DR3 6243841249531772800,K7 V,4060.0,1.31316,0.85,,3.99592,-0.37,0.005,0.387885,,,,,0,0,0,1RXS J160929.1-210524,242.3762343,-21.0831403,139.135,7.15949,25.3771704,-10.2743,-23.2043,1,1,0,0,12.618,14.168,9.82,9.121,8.916,12.0572,11.1941,,,,,,8.794,8.79,8.684,8.531,Imaging,2008,Gemini Observatory,NIRI Camera,Ground,2008-12,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,Gas Giant,Cold Zone,2.54
24 Boo b,b,0,0,1,0,0,0,0,0,30.33,0.194,0.032,,-179.2,2455129.2,JD,13.9,1.24,,,280.64248338,0.883,Msini,280.642483381,0.883,0.574,1840.86,2001.2754,,,,,,,,,55.67,,,2.02,0,0,0,,24 Boo,HD 127243,HIP 70791,TIC 441712711,Gaia DR2 1603662211901473408,Gaia DR3 1603662211901473408,G3 IV,4816.0,12.19,1.05,-0.78,2.28,1.87691,6.92,,,3.36,-7.77089,,1,0,0,24 Boo,217.1555242,49.8446488,95.9863,10.39,307.6469784,-304.064,-46.8161,1,1,0,0,5.59,6.439,3.845,3.34,3.159,5.3339,4.7812,,,,,,,,,,Radial Velocity,2018,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,Ground,2018-08,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,Gas Giant,Hot Zone,0.574
24 Sex b,b,0,0,1,0,0,0,0,0,452.8,1.333,0.09,,9.2,2454762.0,,13.4,1.19,,,632.46,1.99,Msini,632.46,1.99,1.44,471.32,8.2099,,,,,,,,,40.0,,,18.5,0,0,0,,24 Sex,HD 90043,HIP 50887,TIC 1713457,Gaia DR2 3830897080395058048,Gaia DR3 3830897080395058048,K0 IV,5098.0,4.9,1.54,-0.03,3.5,1.164,2.7,,,2.77,7.28611,,1,2,1,24 Sex,155.8684866,-0.9023998,72.0691,13.8488,74.6277468,65.2199,-36.2721,1,2,0,0,6.4535,7.399,5.292,4.486,4.285,6.20374,5.6416,,,,,,4.094,3.598,4.254,4.201,Radial Velocity,2010,Lick Observatory,Hamilton Echelle Spectrograph,Ground,2011-01,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Gas Giant,Hot Zone,1.44
24 Sex c,c,0,0,1,0,0,0,0,0,883.0,2.08,0.29,,220.5,2454930.0,,13.9,1.24,,,273.32,0.86,Msini,273.32,0.86,0.559,377.31,3.3719,,,,,,,,,14.5,,,28.9,0,0,0,,24 Sex,HD 90043,HIP 50887,TIC 1713457,Gaia DR2 3830897080395058048,Gaia DR3 3830897080395058048,K0 IV,5098.0,4.9,1.54,-0.03,3.5,1.164,2.7,,,2.77,7.28611,,1,2,1,24 Sex,155.8684866,-0.9023998,72.0691,13.8488,74.6277468,65.2199,-36.2721,1,2,0,0,6.4535,7.399,5.292,4.486,4.285,6.20374,5.6416,,,,,,4.094,3.598,4.254,4.201,Radial Velocity,2010,Lick Observatory,Hamilton Echelle Spectrograph,Ground,2011-01,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Gas Giant,Hot Zone,0.559
2MASS J01033563-5515561 AB b,b,0,0,0,0,0,0,0,1,,84.0,,,,,,12.3,1.1,4131.79,13.0,4131.79,13.0,Mass,,,12.2,,,,,,,,,,,,,,1780.0,0,0,1,,2MASS J01033563-5515561 A,,,TIC 206502540,,,M5.5/M6,,,0.19,,,,0.03,,,,,,0,0,0,2MASS J01033563-5515561,15.8992489,-55.2658291,47.2,,,,,2,1,0,1,15.788,16.993,10.162,9.58,9.237001,,12.089,,,,,,9.047,8.804,8.558,7.817,Imaging,2013,Paranal Observatory,NACO Camera,Ground,2013-05,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,Gas Giant,Unknown,12.2
2MASS J01225093-2439505 b,b,0,0,0,0,0,0,0,1,,52.0,,,,,,11.209,1.0,7786.5,24.5,7786.5,24.5,Mass,,,30.4,1600.0,0.0,,,,,,,,,,,,1540.0,0,0,0,,2MASS J01225093-2439505,,,TIC 11614485,Gaia DR2 5040416186560252416,Gaia DR3 5040416186560252416,M3.5 V,3530.0,0.36645,0.4,,4.85804,-1.72,0.12,10.118676,,,9.6,,0,0,0,2MASS J01225093-2439505,20.7128012,-24.6646128,33.8281,29.5326,172.4426671,120.455,-123.398,1,1,0,0,14.244,15.706,10.084,9.47,9.198,12.9025,11.6243,,,,,,9.022,8.857,8.747,8.298,Imaging,2013,W. M. Keck Observatory,NIRC2 Camera,Ground,2013-09,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,Gas Giant,Cold Zone,30.4
2MASS J02192210-3925225 b,b,0,0,0,0,0,0,0,1,,156.0,,,,,,16.14096,1.44,4417.837,13.9,4417.837,13.9,Mass,,,5.77,6.27,0.0,,,,,,,,,,,,3890.0,0,0,0,,2MASS J02192210-3925225,,,TIC 77111651,Gaia DR2 4963614887043956096,Gaia DR3 4963614887043956096,M6,3064.0,0.281,0.108,,4.59,-2.23,0.035,17.670763,,6.5,10.6,,0,0,0,2MASS J02192210-3925225,34.8427046,-39.4230767,40.08964117,24.9440995,109.6,103.6,-35.9,1,1,0,0,,18.549,11.381,10.811,10.404,15.0123,13.4304,,,,,,10.148,9.901,9.614,9.001,Imaging,2015,Cerro Tololo Inter-American Observatory,SIMON Near-Infrared Spectroimager,Ground,2015-06,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,Gas Giant,Cold Zone,5.77
2MASS J0249-0557 c,c,0,0,0,0,0,0,0,1,,1950.0,,,,,,17.37392009,1.55,3616.88727166,11.38,3616.88727166,11.38,Mass,,,3.79,1723.0,0.0,,,,,,,,,,,,29500.0,0,0,0,,2MASS J0249-0557 A,,,TIC 10930507,Gaia DR2 5183875103632956032,Gaia DR3 5183875103632956032,M6 V,2859.0,0.315959,0.046,,4.90849,-2.59,0.022,13.181213,,,,,0,0,0,2MASS J0249-0557,42.4851627,-5.9599921,66.0613,15.1097,60.6305959,48.657,-36.1741,2,1,0,1,18.3,18.269,11.963,11.361,11.055,15.6894,14.0996,,21.474,17.1968,14.9773,13.7544,10.844,10.597,10.388,8.919,Imaging,2018,Mauna Kea Observatory,WIRCam,Ground,2018-08,<a refstr=DUPUY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...57D/abstract target=ref>Dupuy et al. 2018</a>,Gas Giant,Cold Zone,3.79
2MASS J03590986+2009361 b,b,0,0,0,0,0,0,0,1,,572.0,,,,,,12.2,1.08,5720.911326,18.0,5720.911326,18.0,Mass,,,17.3,2369.0,0.0,,,,,,,,,,,,4870.0,0,0,0,,2MASS J03590986+2009361,,,TIC 14183352,Gaia DR2 51369428065705600,Gaia DR3 51369428065705600,,2943.0,0.289776,0.264996,,4.93718,-2.24602,,15.353854,,,,,0,0,0,2MASS J03590986+2009361,59.7911026,20.1599759,117.435,8.49183,14.9790197,4.95139,-14.137,1,1,0,0,,20.27,13.479,12.893,12.533,16.9967,15.4702,,,,,,12.222,11.958,12.063,8.977,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,Space,2024-01,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,Gas Giant,Cold Zone,17.3
2M0437 b,b,0,0,0,0,0,0,0,1,,118.0,,,,,,13.0,1.16,1271.313628,4.0,1271.313628,4.0,Mass,,,3.18,1450.0,0.0,,,,,,,,,,,,918.0,0,0,0,,2MASS J04372171+2651014,,,TIC 125843782,Gaia DR2 151499478104075008,Gaia DR3 151499478104075008,M V,3100.0,0.84,0.17,0.01,4.5,-1.16368,0.0025,3.320183,1.84,22.54,17.1,,0,0,0,2MASS J04372171+2651014,69.3405531,26.8502997,128.484,7.75524,28.3362604,8.63445,-26.9887,1,1,0,0,16.186,17.237,11.298,10.656,10.386,14.3374,13.0123,14.432,,,,,10.284,10.12,10.104,7.992,Imaging,2021,Subaru Telescope,Infrared Camera and Spectrograph (IRCS),Ground,2022-05,<a refstr=GAIDOS_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512..583G/abstract target=ref>Gaidos et al. 2022</a>,Gas Giant,Cold Zone,3.18
2MASS J04414489+2301513 b,b,0,0,0,0,0,0,0,1,,15.0,,,,,,12.6,1.13,2383.6,7.5,2383.6,7.5,Mass,,,6.55,17.6,0.0,,,,,,,,,,,,125.0,0,0,0,,2MASS J04414489+2301513,,,TIC 118893899,Gaia DR2 146487556211644544,Gaia DR3 146487556211644544,M8.5,2936.0,0.231916,0.019,,5.01181,-2.44363,0.001,22.781101,,,,,0,0,0,2MASS J04414489+2301513,70.4371079,23.0308544,120.42398696,8.3039935,23.2,9.0,-21.4,1,1,0,0,,,14.419,13.726,13.161,18.9668,17.1815,,,,,,,,,,Imaging,2010,Hubble Space Telescope,WFPC2 Camera,Space,2010-05,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,Gas Giant,Cold Zone,6.55
2MASS J11011926-7732383 b,b,0,0,0,0,0,0,0,1,,266.0,,,,,,11.9,1.06,8899.195396,28.0,8899.195396,28.0,Mass,,,29.0,2677.0,,,,,,,,,,,,,,0,0,0,,2MASS J11011926-7732383,,,TIC 454227159,Gaia DR2 5201185574182015744,Gaia DR3 5201185574182015744,,,,,,,,,,,,,,0,0,0,2MASS J11011926-7732383,165.3295388,-77.5440912,,,,,,1,1,0,0,,,13.096,12.217,11.632,18.3299,16.7448,,,,,,11.218,10.837,10.53,8.634,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,Space,2024-01,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,Gas Giant,Hot Zone,29.0
2MASS J11550485-7919108 b,b,0,0,0,0,0,0,0,1,,587.0,,,,,,12.1,1.08,6356.56814,20.0,6356.56814,20.0,Mass,,,19.7,2506.0,0.0,,,,,,,,,,,,5820.0,0,0,0,,2MASS J11550485-7919108,,,TIC 357014373,Gaia DR2 5199985216726016896,Gaia DR3 5199985216726016896,,3021.0,0.600455,0.58846,,4.65082,-1.56774,,3.832133,,,,,0,0,0,2MASS J11550485-7919108,178.7691634,-79.3197558,100.862,9.88618,41.4066261,-41.179,-4.33574,1,1,0,0,16.957,17.872,11.216,10.465,10.079,14.818,13.344,,,,,,9.89,9.664,9.314,7.155,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,Space,2024-01,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,Gas Giant,Cold Zone,19.7
2MASS J12073346-3932539 b,b,0,0,0,0,0,0,0,1,,46.0,,,,,,15.69257298,1.4,1652.7077164,5.2,1652.7077164,5.2,Mass,,,2.35,1163.0,0.0,,,,,,,,,,,,715.0,0,0,1,,2MASS J12073346-3932539,,,TIC 102076870,Gaia DR2 3459372646830687104,Gaia DR3 3459372646830687104,M8,2825.0,0.21887,0.188001,,5.03186,-2.56086,0.01,25.279454,,,,,0,0,0,2MASS J12073346-3932539,181.8890906,-39.5484399,64.308,15.5242,68.3315134,-64.0825,-23.7198,1,1,0,0,20.15,,12.995,12.388,11.945,17.4076,15.662,,,,,,11.574,11.017,9.469,8.121,Imaging,2004,Paranal Observatory,NACO Camera,Ground,2004-10,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,Gas Giant,Cold Zone,2.35
KOINTREAU-4 b,b,0,0,0,0,0,0,0,1,,182.0,,,,,,12.2,1.09,4862.7746271,15.3,4862.7746271,15.3,Mass,,,14.7,,,,,,,,,,,,,,1250.0,0,0,0,,2MASS J16262785-2625152,,,TIC 175594111,Gaia DR2 6045818685674325760,Gaia DR3 6045818685674325760,M4.5,3252.0,,,,,,0.0113,,,,,,0,0,0,2MASS J16262785-2625152,246.6160467,-26.4209954,145.434,6.84881,28.1695767,-5.62232,-27.6028,1,1,0,0,15.902,17.031,10.841,10.177,9.845,14.1017,12.9013,13.386,,,,,9.648,9.433,9.318,8.528,Imaging,2026,W. M. Keck Observatory,NIRC2 Camera,Ground,2026-03,<a refstr=WALKER_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AJ....171..142W/abstract target=ref>Walker et al. 2026</a>,Gas Giant,Unknown,14.7
2MASS J19383260+4603591 b,b,0,0,0,0,0,0,0,0,406.0,0.92,0.33,,302.0,2455131.0,BJD-TDB,13.4,1.2,603.877,1.9,603.877,1.9,Mass,591.16083702,1.86,1.38,669.65,33.2985,,,,,,,,,,,,2.32,0,0,0,,2MASS J19383260+4603591,,,TIC 271164763,Gaia DR2 2080063931448749824,Gaia DR3 2080063931448749824,,29564.0,0.203,0.48,-0.092,5.508,1.45,,,,,,,0,0,0,2MASS J19383260+4603591,294.6359173,46.0664076,396.332,2.49522,6.9650162,5.19637,-4.6378,2,3,0,1,12.651,12.112,12.757,12.889,12.955,12.1376,12.4561,12.264,,12.363,12.724,13.043,12.862,12.92,12.67,9.203,Eclipse Timing Variations,2015,Kepler,Kepler CCD Array,Space,2015-05,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,Gas Giant,Hot Zone,1.38
Kepler-451 c,c,0,0,0,0,0,0,0,0,1460.0,,0.29,,7.0,2456211.0,BJD-TDB,13.5,1.21,,,511.70373527,1.61,Msini,511.70373527,1.61,1.14,,,,,,,,,,,,,,,0,0,0,,2MASS J19383260+4603591,,,TIC 271164763,Gaia DR2 2080063931448749824,Gaia DR3 2080063931448749824,,29564.0,0.203,0.48,-0.092,5.508,1.45,,,,,,,0,0,0,2MASS J19383260+4603591,294.6359173,46.0664076,396.332,2.49522,6.9650162,5.19637,-4.6378,2,3,0,1,12.651,12.112,12.757,12.889,12.955,12.1376,12.4561,12.264,,12.363,12.724,13.043,12.862,12.92,12.67,9.203,Eclipse Timing Variations,2022,Multiple Observatories,Multiple Instruments,Space,2022-04,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,Gas Giant,Unknown,1.14
Kepler-451 d,d,0,0,0,0,0,0,0,0,43.0,,0.0,,85.0,2454960.0,BJD-TDB,13.5,1.2,,,559.37799632,1.76,Msini,559.37799632,1.76,1.25,,,,,,,,,,,,,,,0,0,0,,2MASS J19383260+4603591,,,TIC 271164763,Gaia DR2 2080063931448749824,Gaia DR3 2080063931448749824,,29564.0,0.203,0.48,-0.092,5.508,1.45,,,,,,,0,0,0,2MASS J19383260+4603591,294.6359173,46.0664076,396.332,2.49522,6.9650162,5.19637,-4.6378,2,3,0,1,12.651,12.112,12.757,12.889,12.955,12.1376,12.4561,12.264,,12.363,12.724,13.043,12.862,12.92,12.67,9.203,Eclipse Timing Variations,2022,Multiple Observatories,Multiple Instruments,Space,2022-04,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,Gas Giant,Unknown,1.25
2MASS J21252752-8138278 b,b,0,0,0,0,0,0,0,1,,7493.0,,,,,,12.4,1.1,3813.940884,12.0,3813.940884,12.0,Mass,,,11.0,1616.0,0.0,,,,,,,,,,,,220000.0,0,0,0,,2MASS J21252752-8138278,,,TIC 273305007,Gaia DR2 6348514275456913792,Gaia DR3 6348514275456913792,,3592.0,0.672832,0.643977,,4.59112,-1.16815,,2.980683,,,,,0,0,0,2MASS J21252752-8138278,321.3662989,-81.6414894,34.1154,29.2836,123.2290771,59.8428,-107.723,1,1,0,0,11.804,13.308,8.239,7.563,7.341,10.8133,9.71772,,,,,,7.242,7.149,7.033,6.953,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,Space,2024-01,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,Gas Giant,Cold Zone,11.0
2MASS J22362452+4751425 b,b,0,0,0,0,0,0,0,1,,230.0,,,,,,12.3,1.1,3972.875,12.5,3972.875,12.5,Mass,,,11.7,10.3,0.0,,,,,,,,,,,,3310.0,0,0,0,,2MASS J22362452+4751425,,,TIC 200532605,Gaia DR2 1986772848034988544,Gaia DR3 1986772848034988544,K7 V,4045.0,0.641152,0.6,,4.62349,-1.02143,0.12,3.369936,,,-21.5,,0,0,0,2MASS J22362452+4751425,339.1025931,47.861683,69.5737,14.3444,69.8897974,62.8913,-30.4839,1,1,0,0,12.368,13.731,9.975,9.338,9.148,11.9484,11.1286,,,11.91,11.32,,9.058,9.094,8.947,8.731,Imaging,2016,W. M. Keck Observatory,NIRC2 Camera,Ground,2017-01,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,Gas Giant,Cold Zone,11.7
