pl_name,pl_letter,pl_controv_flag,tran_flag,rv_flag,ttv_flag,ptv_flag,ast_flag,micro_flag,ima_flag,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbtper,pl_orbtper_systemref,pl_rade,pl_radj,pl_masse,pl_massj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_msinie,pl_msinij,pl_dens,pl_eqt,pl_insol,pl_trandur,pl_trandep,pl_tranmid,pl_tranmid_systemref,pl_ratror,pl_ratdor,pl_imppar,pl_occdep,pl_rvamp,pl_projobliq,pl_trueobliq,pl_angsep,pl_nespec,pl_ntranspec,pl_ndispec,pl_pubdate,hostname,hd_name,hip_name,tic_id,gaia_dr2_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_lum,st_age,st_dens,st_rotp,st_vsin,st_radv,st_log_rhk,st_nphot,st_nrvc,st_nspec,sy_name,ra,dec,sy_dist,sy_plx,sy_pm,sy_pmra,sy_pmdec,sy_snum,sy_pnum,sy_mnum,cb_flag,sy_vmag,sy_bmag,sy_jmag,sy_hmag,sy_kmag,sy_gaiamag,sy_tmag,sy_kepmag,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,discoverymethod,disc_year,disc_facility,disc_instrument,disc_locale,disc_pubdate,disc_refname,planet_class,habitability_zone_est,calc_density
KOI-217 b,b,0,1,0,1,0,0,0,0,3.90512,0.0477,0.0,89.8,,,,12.442,1.11,,,,,Msini,,,,1046.0,272.033,2.85516,1.756,2454966.414,HJD,0.135684,11.897015,0.0053,,,,,0.0521,0,0,0,,KOI-217,,,TIC 271354351,Gaia DR2 2080095679848047872,Gaia DR3 2080095684150253952,,5545.0,0.86,0.95,0.12,4.53,-0.16872,1.7,2.08224,,,,,0,0,0,KOI-217,294.8654667,46.2858128,914.699,1.06473,2.5768478,-2.3429,-1.07283,1,1,0,0,15.257,15.287,13.927,13.55,13.469,15.1013,14.5787,15.127,,15.061,14.885,14.803,13.311,13.395,13.313,9.671,Transit,2010,Kepler,Kepler CCD Array,Space,2010-12,<a refstr=HOWELL_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1010.4106H/abstract target=ref> Howell et al. 2010 </a>,Gas Giant,Hot Zone,
KOI-2513.01,b,0,1,1,0,0,0,0,0,19.00547,0.5,0.36,89.7,-154.0,,,2.80224517,0.25,7310.053361,23.0,7310.053361,23.0,Mass,,,2000.0,758.0,78.19,1.843,0.05424,2454977.152,BJD-TDB,0.022,100.0,1.8945,,2.0,,,0.365,0,0,0,,KOI-2513,,,TIC 270618386,Gaia DR2 2128167225867000576,Gaia DR3 2128167225867000576,,5900.0,1.2,0.91,-0.37,4.3,0.197,8.0,0.8,,,,,0,0,0,KOI-2513,293.6688776,46.3792321,1369.87,,6.3620088,2.73515,-5.74405,1,1,0,0,14.913,15.645,13.757,13.453,13.367,14.809,14.3844,14.839,,14.805,14.668,14.63,13.345,13.381,13.099,9.223,Transit,2023,Kepler,Kepler CCD Array,Space,2023-04,<a refstr=CA_NTILDE_AS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265...50C/abstract target=ref>Ca&ntilde;as et al. 2023</a>,Sub-Neptune,Hot Zone,2000.0
KOI-319 b,b,0,1,0,1,0,0,0,0,46.14827,0.2668,0.034,88.24,,,,10.67,0.95191528,3178.28407,10.0,3178.28407,10.0,Mass,,,,703.0,60.4,6.3417,0.18173,2455009.626189,BJD,0.04739,29.3,0.9083,,,,,0.404,0,0,0,,KOI-319,,,TIC 159303995,Gaia DR2 2127045311688712832,Gaia DR3 2127045311688712832,,5880.0,2.064,1.325,0.16,3.927,0.71818,3.86,0.2095,,,,,0,0,0,KOI-319,290.117498,44.8729586,660.138,1.48625,9.1287543,-6.33929,6.56868,1,2,0,0,12.675,12.905,11.093,10.818,10.753,12.1125,11.6906,12.711,,12.682,,,10.712,10.748,10.671,9.32,Transit,2014,Kepler,Kepler CCD Array,Space,2014-07,<a refstr=NESVORNY_ET_AL_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...790...31N/abstract target=ref>Nesvorn&yacute; et al. 2014</a>,Gas Giant,Hot Zone,14.427
KOI-319 c,c,0,0,0,0,0,0,0,0,80.099,,0.032,,,,,11.9,1.06,8803.8468739,27.7,8803.8468739,27.7,Mass,,,28.7,,,,,,,,,2.12,,,,,,0,0,0,,KOI-319,,,TIC 159303995,Gaia DR2 2127045311688712832,Gaia DR3 2127045311688712832,,5880.0,2.064,1.325,0.16,3.927,0.71818,3.86,0.2095,,,,,0,0,0,KOI-319,290.117498,44.8729586,660.138,1.48625,9.1287543,-6.33929,6.56868,1,2,0,0,12.675,12.905,11.093,10.818,10.753,12.1125,11.6906,12.711,,12.682,,,10.712,10.748,10.671,9.32,Transit Timing Variations,2014,Kepler,Kepler CCD Array,Space,2014-07,<a refstr=NESVORNY_ET_AL_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...790...31N/abstract target=ref>Nesvorn&yacute; et al. 2014</a>,Gas Giant,Unknown,28.7
KOI-3503 b,b,0,1,0,1,0,0,0,0,21.185,0.14247,0.0,88.42,,,,1.19,0.10616487,9.2,0.0289464371257412,9.2,0.02894644,Mass,,,10.0,785.0,90.2,2.776,0.00717,2454981.8096,BJD,0.008331,58.769,0.0332,,,,,0.161,0,0,0,,KOI-3503,,,TIC 138097784,Gaia DR2 2077601373302068352,Gaia DR3 2077601373302068352,,6001.0,1.255,0.858,-0.5428,4.547,0.30005,11.48,0.44,,,,,0,0,0,KOI-3503,293.1507654,41.7291532,887.064,1.09861,22.0853664,-9.91469,-19.7348,1,2,0,0,13.831,14.556,12.807,12.54,12.483,13.7744,13.3876,13.827,,13.795,13.681,13.644,12.462,12.497,12.513,9.351,Transit,2021,Kepler,Kepler CCD Array,Space,2021-05,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,Terrestrial,Hot Zone,10.0
KOI-3503 c,c,0,1,0,1,0,0,0,0,31.828,0.18688,0.0,89.38,,,,1.21,0.10794916,10.36,0.0325962052850738,10.36,0.03259621,Mass,,,10.0,686.0,52.5,4.17,0.0079,2454977.5289,BJD,0.008651,43.4,0.681,,,,,0.211,0,0,0,,KOI-3503,,,TIC 138097784,Gaia DR2 2077601373302068352,Gaia DR3 2077601373302068352,,6001.0,1.255,0.858,-0.5428,4.547,0.30005,11.48,0.44,,,,,0,0,0,KOI-3503,293.1507654,41.7291532,887.064,1.09861,22.0853664,-9.91469,-19.7348,1,2,0,0,13.831,14.556,12.807,12.54,12.483,13.7744,13.3876,13.827,,13.795,13.681,13.644,12.462,12.497,12.513,9.351,Transit,2021,Kepler,Kepler CCD Array,Space,2021-05,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,Terrestrial,Hot Zone,10.0
KOI-351 b,b,0,1,0,0,0,0,0,0,7.008151,0.074,0.0,89.4,,,,1.31,0.117,,,2.27,0.00714,M-R relationship,,,5.55,1062.0,316.442,3.99,0.01164,2454970.6906,HJD,0.01,13.2,0.13,,,,,0.0872,0,0,0,,KOI-351,,,TIC 267667295,Gaia DR2 2132193431285570304,Gaia DR3 2132193431285570304,,6080.0,1.2,1.2,-0.12,4.4,0.26853,0.53,1.18855,,4.6,,,0,0,0,KOI-351,284.4334642,49.3051239,848.254,1.15007,5.432016,-4.37917,-3.21398,1,8,0,0,13.883,14.604,12.79,12.531,12.482,13.7397,13.3396,13.804,,13.741,13.66,13.634,12.438,12.476,12.513,9.588,Transit,2013,Kepler,Kepler CCD Array,Space,2014-01,<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>,Super-Earth,Hot Zone,5.55
KOI-351 c,c,0,1,0,0,0,0,0,0,8.719375,0.089,0.0,89.68,,,,1.19,0.106,,,1.81,0.0057,M-R relationship,,,5.9,987.0,236.315,4.41,0.01604,2454972.5687,HJD,0.0091,16.0,0.09,,,,,0.105,0,0,0,,KOI-351,,,TIC 267667295,Gaia DR2 2132193431285570304,Gaia DR3 2132193431285570304,,6080.0,1.2,1.2,-0.12,4.4,0.26853,0.53,1.18855,,4.6,,,0,0,0,KOI-351,284.4334642,49.3051239,848.254,1.15007,5.432016,-4.37917,-3.21398,1,8,0,0,13.883,14.604,12.79,12.531,12.482,13.7397,13.3396,13.804,,13.741,13.66,13.634,12.438,12.476,12.513,9.588,Transit,2013,Kepler,Kepler CCD Array,Space,2014-01,<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>,Terrestrial,Hot Zone,5.9
KOI-351 d,d,0,1,0,0,0,0,0,0,59.73667,0.32,0.0,89.71,,,,2.87,0.256,,,8.6,0.0271,M-R relationship,,,2.0,520.0,18.168,8.4,0.05664,2454991.9656,HJD,0.0219,56.1,0.28,,,,,0.377,0,0,0,,KOI-351,,,TIC 267667295,Gaia DR2 2132193431285570304,Gaia DR3 2132193431285570304,,6080.0,1.2,1.2,-0.12,4.4,0.26853,0.53,1.18855,,4.6,,,0,0,0,KOI-351,284.4334642,49.3051239,848.254,1.15007,5.432016,-4.37917,-3.21398,1,8,0,0,13.883,14.604,12.79,12.531,12.482,13.7397,13.3396,13.804,,13.741,13.66,13.634,12.438,12.476,12.513,9.588,Transit,2013,Kepler,Kepler CCD Array,Space,2014-01,<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>,Sub-Neptune,Hot Zone,2.0
KOI-351 e,e,0,1,0,0,0,0,0,0,91.93913,0.42,0.0,89.79,,,,2.66,0.237,,,7.56,0.0238,M-R relationship,,,2.21,450.0,10.228,9.71,0.04829,2454967.3127,HJD,0.0203,74.7,0.27,,,,,0.495,0,0,0,,KOI-351,,,TIC 267667295,Gaia DR2 2132193431285570304,Gaia DR3 2132193431285570304,,6080.0,1.2,1.2,-0.12,4.4,0.26853,0.53,1.18855,,4.6,,,0,0,0,KOI-351,284.4334642,49.3051239,848.254,1.15007,5.432016,-4.37917,-3.21398,1,8,0,0,13.883,14.604,12.79,12.531,12.482,13.7397,13.3396,13.804,,13.741,13.66,13.634,12.438,12.476,12.513,9.588,Transit,2013,Kepler,Kepler CCD Array,Space,2014-01,<a refstr=CABRERA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...18C/abstract target=ref> Cabrera et al. 2014 </a>,Sub-Neptune,Hot Zone,2.21
